Date,ZAR,EUR,USD
29-01-2021,18.408769,1,1.21377
30-01-2021,18.421574,1,1.21375
31-01-2021,18.413054,1,1.212341
01-02-2021,18.176897,1,1.206833
02-02-2021,18.004767,1,1.203869
03-02-2021,17.984828,1,1.20409
04-02-2021,17.947623,1,1.196637
05-02-2021,17.87917,1,1.204877
06-02-2021,17.882743,1,1.204905
07-02-2021,17.978413,1,1.204834
08-02-2021,17.921471,1,1.205355
09-02-2021,17.845764,1,1.21185
10-02-2021,17.882853,1,1.211974
11-02-2021,17.741565,1,1.213008
12-02-2021,17.623326,1,1.211316
13-02-2021,17.633999,1,1.21205
14-02-2021,17.634112,1,1.212158
15-02-2021,17.530475,1,1.213215
16-02-2021,17.754371,1,1.209212
17-02-2021,17.595724,1,1.20465
18-02-2021,17.643058,1,1.209153
19-02-2021,17.764124,1,1.211825
20-02-2021,17.756878,1,1.211825
21-02-2021,17.803438,1,1.212599
22-02-2021,17.855984,1,1.21658
23-02-2021,17.687505,1,1.215178
24-02-2021,17.642254,1,1.216993
25-02-2021,18.293613,1,1.216005
26-02-2021,18.247072,1,1.207208
27-02-2021,18.247104,1,1.20721
28-02-2021,18.193968,1,1.208897
01-03-2021,18.083557,1,1.20496
02-03-2021,18.052489,1,1.20851
03-03-2021,18.183237,1,1.20503
04-03-2021,18.30338,1,1.196738
05-03-2021,18.300888,1,1.191126
06-03-2021,18.308325,1,1.19161
07-03-2021,18.264285,1,1.192521
08-03-2021,18.405637,1,1.185136
09-03-2021,18.194851,1,1.18976
10-03-2021,17.98342,1,1.192463
11-03-2021,17.773955,1,1.198461
12-03-2021,17.868119,1,1.195341
13-03-2021,17.867874,1,1.195325
14-03-2021,17.856493,1,1.194943
15-03-2021,17.732858,1,1.192542
16-03-2021,17.703526,1,1.190129
17-03-2021,17.534075,1,1.198243
18-03-2021,17.564234,1,1.191789
19-03-2021,17.467109,1,1.19465
20-03-2021,17.470033,1,1.19485
21-03-2021,17.621439,1,1.188269
22-03-2021,17.576892,1,1.193268
23-03-2021,17.651742,1,1.183985
24-03-2021,17.665464,1,1.181272
25-03-2021,17.669093,1,1.177627
26-03-2021,17.720426,1,1.179422
27-03-2021,17.765927,1,1.18245
28-03-2021,17.665492,1,1.178689
29-03-2021,17.559358,1,1.176865
30-03-2021,17.479881,1,1.172312
31-03-2021,17.339789,1,1.172656
01-04-2021,17.23175,1,1.177813
02-04-2021,17.241611,1,1.17605
03-04-2021,17.239851,1,1.17593
04-04-2021,17.259476,1,1.176547
05-04-2021,17.198266,1,1.181752
06-04-2021,17.22611,1,1.187402
07-04-2021,17.306188,1,1.187303
08-04-2021,17.306714,1,1.19175
09-04-2021,17.386888,1,1.19
10-04-2021,17.399077,1,1.19008
11-04-2021,17.35222,1,1.189913
12-04-2021,17.361475,1,1.191256
13-04-2021,17.342455,1,1.195422
14-04-2021,17.251988,1,1.198315
15-04-2021,16.955792,1,1.196953
16-04-2021,17.149298,1,1.198195
17-04-2021,17.14973,1,1.198195
18-04-2021,17.128439,1,1.197189
19-04-2021,17.130272,1,1.20439
20-04-2021,17.207267,1,1.203291
21-04-2021,17.15193,1,1.203724
22-04-2021,17.198836,1,1.201338
23-04-2021,17.290305,1,1.20985
24-04-2021,17.282598,1,1.209715
25-04-2021,17.265349,1,1.209146
26-04-2021,17.246737,1,1.208043
27-04-2021,17.376539,1,1.208949
28-04-2021,17.268457,1,1.213582
29-04-2021,17.330148,1,1.212511
30-04-2021,17.430162,1,1.20195
01-05-2021,17.423162,1,1.201995
02-05-2021,17.408698,1,1.202841
03-05-2021,17.372557,1,1.205984
04-05-2021,17.38354,1,1.20145
05-05-2021,17.233507,1,1.200626
06-05-2021,17.126235,1,1.20655
07-05-2021,17.123634,1,1.2165
08-05-2021,17.104637,1,1.216325
09-05-2021,17.1127,1,1.217464
10-05-2021,17.044783,1,1.214033
11-05-2021,16.989915,1,1.214528
12-05-2021,17.057438,1,1.207839
13-05-2021,17.075333,1,1.207715
14-05-2021,17.165167,1,1.214442
15-05-2021,17.167252,1,1.21459
16-05-2021,17.176779,1,1.215059
17-05-2021,17.139236,1,1.215769
18-05-2021,17.125467,1,1.222217
19-05-2021,17.177854,1,1.217144
20-05-2021,17.096852,1,1.222529
21-05-2021,17.00208,1,1.218
22-05-2021,17.003825,1,1.218125
23-05-2021,17.006553,1,1.218173
24-05-2021,17.012936,1,1.221452
25-05-2021,16.984011,1,1.22481
26-05-2021,16.779821,1,1.219211
27-05-2021,16.779451,1,1.219207
28-05-2021,16.797425,1,1.21925
29-05-2021,16.806095,1,1.219255
30-05-2021,16.803785,1,1.219063
31-05-2021,16.78804,1,1.22335
01-06-2021,16.813821,1,1.221755
02-06-2021,16.531612,1,1.22105
03-06-2021,16.530084,1,1.21315
04-06-2021,16.333212,1,1.216726
05-06-2021,16.33226,1,1.216655
06-06-2021,16.331466,1,1.21676
07-06-2021,16.497175,1,1.219074
08-06-2021,16.522432,1,1.217337
09-06-2021,16.727561,1,1.217732
10-06-2021,16.551193,1,1.217219
11-06-2021,16.601898,1,1.21085
12-06-2021,16.602521,1,1.210895
13-06-2021,16.617075,1,1.210984
14-06-2021,16.699103,1,1.212267
15-06-2021,16.699399,1,1.212561
16-06-2021,16.813126,1,1.199379
17-06-2021,16.80426,1,1.191472
18-06-2021,17.037414,1,1.18635
19-06-2021,17.028439,1,1.186435
20-06-2021,17.02352,1,1.187261
21-06-2021,16.946557,1,1.191207
22-06-2021,17.026541,1,1.19389
23-06-2021,16.972917,1,1.19294
24-06-2021,16.944324,1,1.192855
25-06-2021,16.895132,1,1.19375
26-06-2021,16.893151,1,1.19361
27-06-2021,16.904961,1,1.194158
28-06-2021,17.011527,1,1.192753
29-06-2021,17.074138,1,1.190048
30-06-2021,16.922383,1,1.18554
01-07-2021,17.127771,1,1.18458
02-07-2021,16.909085,1,1.186485
03-07-2021,16.921398,1,1.1865
04-07-2021,16.872944,1,1.185535
05-07-2021,16.909107,1,1.18645
06-07-2021,16.99186,1,1.182236
07-07-2021,16.867774,1,1.179322
08-07-2021,16.94242,1,1.184701
09-07-2021,16.867432,1,1.187775
10-07-2021,16.871303,1,1.1877
11-07-2021,16.931432,1,1.18728
12-07-2021,17.08329,1,1.186303
13-07-2021,17.357012,1,1.177461
14-07-2021,17.143824,1,1.183299
15-07-2021,17.209551,1,1.181192
16-07-2021,17.068921,1,1.180665
17-07-2021,17.028759,1,1.18054
18-07-2021,17.020986,1,1.181293
19-07-2021,17.177254,1,1.179296
20-07-2021,17.237245,1,1.178137
21-07-2021,17.196296,1,1.179238
22-07-2021,17.333088,1,1.17735
23-07-2021,17.474907,1,1.17713
24-07-2021,17.473401,1,1.17713
25-07-2021,17.457812,1,1.177274
26-07-2021,17.450838,1,1.180669
27-07-2021,17.485364,1,1.18209
28-07-2021,17.454464,1,1.184659
29-07-2021,17.314409,1,1.188983
30-07-2021,17.336015,1,1.186745
31-07-2021,17.335358,1,1.1867
01-08-2021,17.338904,1,1.186401
02-08-2021,17.179462,1,1.187345
03-08-2021,16.987923,1,1.186979
04-08-2021,17.001307,1,1.18371
05-08-2021,17.16848,1,1.183299
06-08-2021,17.213855,1,1.176319
07-08-2021,17.214246,1,1.17628
08-08-2021,17.241367,1,1.174807
09-08-2021,17.352188,1,1.173716
10-08-2021,17.345995,1,1.171914
11-08-2021,17.207219,1,1.174121
12-08-2021,17.346114,1,1.173647
13-08-2021,17.372924,1,1.17964
14-08-2021,17.372924,1,1.17964
15-08-2021,17.346547,1,1.179252
16-08-2021,17.483598,1,1.177854
17-08-2021,17.455913,1,1.17095
18-08-2021,17.52765,1,1.17039
19-08-2021,17.782035,1,1.167543
20-08-2021,17.835005,1,1.1697
21-08-2021,17.889747,1,1.1697
22-08-2021,17.918739,1,1.169508
23-08-2021,17.790213,1,1.174419
24-08-2021,17.648875,1,1.175367
25-08-2021,17.606568,1,1.177184
26-08-2021,17.547579,1,1.175496
27-08-2021,17.375529,1,1.17973
28-08-2021,17.375863,1,1.17954
29-08-2021,17.370953,1,1.17994
30-08-2021,17.293911,1,1.179655
31-08-2021,17.151474,1,1.180951
01-09-2021,17.05238,1,1.183996
02-09-2021,17.154548,1,1.187511
03-09-2021,17.000358,1,1.187905
04-09-2021,17.006727,1,1.18835
05-09-2021,17.009824,1,1.188559
06-09-2021,16.902903,1,1.18751
07-09-2021,16.933846,1,1.18445
08-09-2021,16.77103,1,1.181845
09-09-2021,16.796627,1,1.182453
10-09-2021,16.788811,1,1.18147
11-09-2021,16.788811,1,1.18147
12-09-2021,16.771198,1,1.181042
13-09-2021,16.703948,1,1.18095
14-09-2021,16.924493,1,1.180361
15-09-2021,17.015686,1,1.18185
16-09-2021,17.172946,1,1.176495
17-09-2021,17.290986,1,1.172525
18-09-2021,17.291944,1,1.17259
19-09-2021,17.327514,1,1.172882
20-09-2021,17.323689,1,1.172766
21-09-2021,17.420331,1,1.172257
22-09-2021,17.303793,1,1.168682
23-09-2021,17.328029,1,1.173978
24-09-2021,17.535408,1,1.172055
25-09-2021,17.534735,1,1.17201
26-09-2021,17.529158,1,1.172299
27-09-2021,17.491939,1,1.16957
28-09-2021,17.651345,1,1.168499
29-09-2021,17.60765,1,1.160364
30-09-2021,17.461559,1,1.157414
01-10-2021,17.234531,1,1.159549
02-10-2021,17.234531,1,1.159549
03-10-2021,17.244143,1,1.1608
04-10-2021,17.47753,1,1.16169
05-10-2021,17.417567,1,1.159602
06-10-2021,17.304954,1,1.155502
07-10-2021,17.283422,1,1.156066
08-10-2021,17.283574,1,1.157536
09-10-2021,17.325586,1,1.157536
10-10-2021,17.272908,1,1.156577
11-10-2021,17.410212,1,1.155435
12-10-2021,17.26572,1,1.15327
13-10-2021,17.150734,1,1.159804
14-10-2021,17.126276,1,1.159155
15-10-2021,16.827458,1,1.159911
16-10-2021,16.827458,1,1.159911
17-10-2021,16.948202,1,1.159676
18-10-2021,17.052013,1,1.161379
19-10-2021,16.890015,1,1.16319
20-10-2021,16.797283,1,1.165489
21-10-2021,17.067375,1,1.162517
22-10-2021,17.29516,1,1.164681
23-10-2021,17.294968,1,1.164681
24-10-2021,17.257232,1,1.1639
25-10-2021,17.079701,1,1.160881
26-10-2021,17.212345,1,1.15969
27-10-2021,17.482272,1,1.159978
28-10-2021,17.691668,1,1.168492
29-10-2021,17.62725,1,1.156103
30-10-2021,17.62725,1,1.156103
31-10-2021,17.599327,1,1.155809
01-11-2021,17.894664,1,1.159954
02-11-2021,17.862911,1,1.157809
03-11-2021,17.717792,1,1.161636
